2026-04-21 20:09:16,798 | INFO | pipeline_start | {"start_episode": 0, "total_episodes": 400, "iteration_size": 8, "completed_iterations": 0, "socratic_model": "/home/jovyan/cs5483_24b/Tutorial1/2026/Training/runs/qwen2b-grpo/model", "socratic_adapter": null, "red_adapter": null}
2026-04-21 20:09:16,798 | INFO | model_loaded | {"role": "judge", "model_name_or_path": "Qwen/Qwen3-32B", "backend": "vllm_server", "base_url": "http://localhost:8000/v1", "persistent": true, "trainable": false}
2026-04-21 20:09:16,799 | INFO | iteration_start | {"iteration": 1, "start_episode": 0, "requested_tasks": 8}
2026-04-21 20:11:21,034 | INFO | model_loaded | {"role": "red_generation", "model_name_or_path": "Qwen/Qwen3-32B", "adapter_path": null, "quantization": "8bit", "gpu_ids": [1, 2, 3], "persistent": false, "trainable": false}
2026-04-21 20:13:31,065 | INFO | pipeline_stop | {"model_pool": "{\"judge_loaded\": true, \"judge_backend\": \"vllm_server\", \"socratic_loaded\": false, \"socratic_source\": null, \"socratic_adapter\": null}"}
2026-04-21 20:13:43,624 | INFO | pipeline_start | {"start_episode": 0, "total_episodes": 5, "iteration_size": 8, "completed_iterations": 0, "socratic_model": "/home/jovyan/cs5483_24b/Tutorial1/2026/Training/runs/qwen2b-grpo/model", "socratic_adapter": null, "red_adapter": null}
2026-04-21 20:13:43,625 | INFO | model_loaded | {"role": "judge", "model_name_or_path": "Qwen/Qwen3-32B", "backend": "vllm_server", "base_url": "http://localhost:8000/v1", "persistent": true, "trainable": false}
2026-04-21 20:13:43,625 | INFO | iteration_start | {"iteration": 1, "start_episode": 0, "requested_tasks": 5}
2026-04-21 20:15:48,789 | INFO | model_loaded | {"role": "red_generation", "model_name_or_path": "Qwen/Qwen3-32B", "adapter_path": null, "quantization": "8bit", "gpu_ids": [1, 2, 3], "persistent": false, "trainable": false}
2026-04-21 20:20:11,419 | INFO | red_validation_complete | {"iteration": 1, "candidate_count": 5, "valid_count": 5, "invalid_count": 0, "invalid_topics": [], "invalid_reasons": []}
2026-04-21 20:20:11,784 | INFO | iteration_red_generation_complete | {"iteration": 1, "requested_tasks": 5, "generated_tasks": 5, "raw_generated_tasks": 5, "validated_tasks": 5, "repaired_tasks": 0, "attempts": 5, "replica_count": 1, "shard_gpu_ids": [1, 2, 3], "effective_batch_size": 4, "red_generation_adapter": null}
2026-04-21 20:20:57,332 | INFO | model_loaded | {"role": "socratic", "model_name_or_path": "/home/jovyan/cs5483_24b/Tutorial1/2026/Training/runs/qwen2b-grpo/model", "adapter_path": null, "quantization": null, "gpu_ids": [1, 2, 3], "persistent": true, "trainable": false}
2026-04-21 20:21:25,706 | INFO | iteration_socratic_generation_complete | {"iteration": 1, "hint_count": 5}
2026-04-21 20:21:45,563 | INFO | judge_batch_complete | {"candidate_count": 4, "topics": ["Exception Handling and Custom Exceptions", "Conditional Statements", "Sorting and Key Functions", "Dictionaries and Sets"], "raw_scores": [10.0, 10.0, 10.0, 9.65], "adjusted_scores": [10.0, 10.0, 10.0, 9.130384757729338], "adjusted_rewards": [1.0, 1.0, 1.0, 0.9130384757729338], "task_quality": [10.0, 10.0, 10.0, 10.0], "task_is_valid_for_socratic": [true, true, true, true], "hint_is_valid_for_socratic": [true, true, true, true], "local_tiebreak": [{"delta": 1.15, "reasons": ["grounded:function_or_class", "grounded:assertion_token", "grounded:error_token", "precise_question", "generic:1"], "grounding_hits": ["function_or_class", "assertion_token", "error_token"], "generic_hits": 1, "invented_identifiers": [], "invented_references": [], "malformed_reasons": [], "references_passed_execution": false, "severe_hint_failure": false, "execution_status": "failed", "hard_gate": {"applied": false, "reasons": [], "forced_score": null, "contains_code_output": false, "contains_direct_fix": false}}, {"delta": 1.5, "reasons": ["grounded:function_or_class", "grounded:assertion_token", "grounded:error_token", "precise_question"], "grounding_hits": ["function_or_class", "assertion_token", "error_token"], "generic_hits": 0, "invented_identifiers": [], "invented_references": [], "malformed_reasons": [], "references_passed_execution": false, "severe_hint_failure": false, "execution_status": "failed", "hard_gate": {"applied": false, "reasons": [], "forced_score": null, "contains_code_output": false, "contains_direct_fix": false}}, {"delta": 0.7, "reasons": ["grounded:function_or_class", "precise_question"], "grounding_hits": ["function_or_class"], "generic_hits": 0, "invented_identifiers": [], "invented_references": [], "malformed_reasons": [], "references_passed_execution": false, "severe_hint_failure": false, "execution_status": "failed", "hard_gate": {"applied": false, "reasons": [], "forced_score": null, "contains_code_output": false, "contains_direct_fix": false}}, {"delta": -0.34999999999999987, "reasons": ["grounded:function_or_class", "precise_question", "generic:3"], "grounding_hits": ["function_or_class"], "generic_hits": 3, "invented_identifiers": [], "invented_references": [], "malformed_reasons": [], "references_passed_execution": false, "severe_hint_failure": false, "execution_status": "failed", "hard_gate": {"applied": false, "reasons": [], "forced_score": null, "contains_code_output": false, "contains_direct_fix": false}}]}
2026-04-21 20:21:45,578 | INFO | episode_complete | {"episode_id": 1, "topic": "Exception Handling and Custom Exceptions", "reward": 1.0, "score": 10.0, "adjusted_score": 10.0, "task_is_valid_for_socratic": true, "hint_is_valid_for_socratic": true, "curriculum_weights": {"Conditional Statements": 1.0, "Functions and Scope": 1.0, "Recursion and Generators": 1.0, "Dictionaries and Sets": 1.0, "Sorting and Key Functions": 1.0, "Strings and Parsing": 1.0, "Objects and Classes": 1.0, "NumPy and Linear Algebra": 1.0, "Decorators and Closures": 1.0, "Exception Handling and Custom Exceptions": 1.5999999999999999, "Mutable State and Aliasing": 1.0, "Inheritance, MRO, and Dunder Methods": 1.0, "Lists, Tuples, and Slicing": 1.0, "Loops and Iteration": 1.0, "Arithmetic and Type Conversion": 1.0}}
2026-04-21 20:21:45,591 | INFO | episode_complete | {"episode_id": 2, "topic": "Conditional Statements", "reward": 1.0, "score": 10.0, "adjusted_score": 10.0, "task_is_valid_for_socratic": true, "hint_is_valid_for_socratic": true, "curriculum_weights": {"Conditional Statements": 1.5999999999999999, "Functions and Scope": 1.0, "Recursion and Generators": 1.0, "Dictionaries and Sets": 1.0, "Sorting and Key Functions": 1.0, "Strings and Parsing": 1.0, "Objects and Classes": 1.0, "NumPy and Linear Algebra": 1.0, "Decorators and Closures": 1.0, "Exception Handling and Custom Exceptions": 1.5999999999999999, "Mutable State and Aliasing": 1.0, "Inheritance, MRO, and Dunder Methods": 1.0, "Lists, Tuples, and Slicing": 1.0, "Loops and Iteration": 1.0, "Arithmetic and Type Conversion": 1.0}}
2026-04-21 20:21:45,604 | INFO | episode_complete | {"episode_id": 3, "topic": "Sorting and Key Functions", "reward": 1.0, "score": 10.0, "adjusted_score": 10.0, "task_is_valid_for_socratic": true, "hint_is_valid_for_socratic": true, "curriculum_weights": {"Conditional Statements": 1.5999999999999999, "Functions and Scope": 1.0, "Recursion and Generators": 1.0, "Dictionaries and Sets": 1.0, "Sorting and Key Functions": 1.5999999999999999, "Strings and Parsing": 1.0, "Objects and Classes": 1.0, "NumPy and Linear Algebra": 1.0, "Decorators and Closures": 1.0, "Exception Handling and Custom Exceptions": 1.5999999999999999, "Mutable State and Aliasing": 1.0, "Inheritance, MRO, and Dunder Methods": 1.0, "Lists, Tuples, and Slicing": 1.0, "Loops and Iteration": 1.0, "Arithmetic and Type Conversion": 1.0}}
2026-04-21 20:21:45,618 | INFO | episode_complete | {"episode_id": 4, "topic": "Dictionaries and Sets", "reward": 0.9130384757729338, "score": 9.65, "adjusted_score": 9.130384757729338, "task_is_valid_for_socratic": true, "hint_is_valid_for_socratic": true, "curriculum_weights": {"Conditional Statements": 1.5999999999999999, "Functions and Scope": 1.0, "Recursion and Generators": 1.0, "Dictionaries and Sets": 1.6260884572681198, "Sorting and Key Functions": 1.5999999999999999, "Strings and Parsing": 1.0, "Objects and Classes": 1.0, "NumPy and Linear Algebra": 1.0, "Decorators and Closures": 1.0, "Exception Handling and Custom Exceptions": 1.5999999999999999, "Mutable State and Aliasing": 1.0, "Inheritance, MRO, and Dunder Methods": 1.0, "Lists, Tuples, and Slicing": 1.0, "Loops and Iteration": 1.0, "Arithmetic and Type Conversion": 1.0}}
2026-04-21 20:21:45,618 | INFO | hard_example_batch_selection | {"selected_episode_ids": [4], "selected_rewards": [0.9130384757729338], "batch_episode_ids": [1, 2, 3, 4]}
2026-04-21 20:21:45,620 | INFO | hard_example_added | {"episode_id": 4, "topic": "Dictionaries and Sets", "reward": 0.9130384757729338, "batch_bottom_fraction": 0.25}
